Episode,Time,Reward,World,Stage,X Position,Y Position,Life,Score,Status,Reached Flag
306,0,32.50523781776428,-648.0,1,1,292,79,2,100,small,False
307,0,31.926963806152344,-829.0,1,1,111,79,2,0,small,False
308,0,31.811145305633545,-875.0000000000001,1,1,65,79,2,0,small,False
309,0,31.81590247154236,-873.0000000000001,1,1,67,79,2,0,small,False
310,0,32.401485443115234,-882.0000000000001,1,1,58,79,2,0,small,False
311,0,32.5725474357605,-887.0000000000001,1,1,53,79,2,0,small,False
312,0,35.27003765106201,-877.0000000000001,1,1,63,79,2,0,small,False
313,0,34.83423447608948,-866.0000000000001,1,1,74,79,2,0,small,False
314,0,36.26560091972351,-861.0000000000001,1,1,79,89,2,0,small,False
315,0,36.34448742866516,-840.0,1,1,100,79,2,0,small,False
316,0,35.17234969139099,-791.0,1,1,149,96,2,100,small,False
317,0,21.59073281288147,-451.3,1,1,40,79,1,0,small,False
318,0,34.770183801651,-511.00000000000006,1,1,429,101,2,100,small,False
319,0,33.14574456214905,-506.00000000000006,1,1,434,79,2,100,small,False
320,0,1.3240387439727783,173.5,1,1,40,79,1,0,small,False
321,0,32.889349937438965,-344.76000000000005,1,1,594,79,2,0,small,False
322,0,0.9263894557952881,205.5,1,1,40,79,1,0,small,False
323,0,34.515358209609985,-345.0200000000001,1,1,594,79,2,0,small,False
324,0,33.23242449760437,-345.06000000000006,1,1,594,79,2,100,small,False
325,0,0.7267353534698486,222.29999999999998,1,1,40,79,1,0,small,False
326,0,33.3122980594635,-345.4600000000001,1,1,594,79,2,100,small,False
327,0,0.6318264007568359,221.1,1,1,40,79,1,0,small,False
328,0,0.6784970760345459,221.29999999999998,1,1,40,79,1,0,small,False
329,0,0.6167194843292236,225.1,1,1,40,79,1,0,small,False
330,0,0.6090092658996582,225.29999999999998,1,1,40,79,1,0,small,False
331,0,0.6316642761230469,222.7,1,1,40,79,1,0,small,False
332,0,0.6020915508270264,226.29999999999998,1,1,40,79,1,0,small,False
333,0,0.6187200546264648,221.7,1,1,40,79,1,0,small,False
334,0,0.7700033187866211,225.7,1,1,40,79,1,0,small,False
335,0,0.7904772758483887,226.29999999999998,1,1,40,79,1,0,small,False
336,0,0.6847171783447266,226.29999999999998,1,1,40,79,1,0,small,False
337,0,0.6528089046478271,226.29999999999998,1,1,40,79,1,0,small,False
338,0,32.77525448799133,-506.00000000000006,1,1,434,79,2,0,small,False
